,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
191,"Data Scientist - Tiktok Ads, Growth Marketing",Employer Provided Salary:$153K - $296K,"Responsibilities
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo.

The mission of TikTok Ads Platform is to connect global advertisers and users, advertisers of any industry and experience level are able to get suitable marketing solutions, then easily create, manage and optimize ads. The vision is to build an easy-to-understand, easy-to-use and powerful Ads Platform.

The Ad Growth team is responsible for driving advertising growth on TikTok platform. We achieve it by acquiring and retaining advertisers through brand marketing, performance marketing, organic growth initiatives and customer management. We build products that allow us to reach more audiences, improve targeting, optimize bidding, better measure incrementally.


We are looking for experienced Data Scientists to influence the product roadmaps for the Ad Growth team.
Qualifications
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We believe individuals shouldn't be disadvantaged because of their background or identity, but instead should be considered based on their strengths and experience. We are passionate about this and hope you are too.
TikTok is committed to providing reasonable accommodations during our recruitment process. If you need assistance or an accommodation, please reach out to us at USRC@tiktok.com.
Job Information
The base salary range for this position in the selected city is $153000 - $296000 annually.



Compensation may vary outside of this range depending on a number of factors, including a candidate’s qualifications, skills, competencies and experience, and location. Base pay is one part of the Total Package that is provided to compensate and recognize employees for their work, and this role may be eligible for additional discretionary bonuses/incentives, and restricted stock units.



At ByteDance/TikTok our benefits are designed to convey company culture and values, to create an efficient and inspiring work environment, and to support ByteDancers to give their best in both work and life. We offer the following benefits to eligible employees:



We cover 100% premium coverage for employee medical insurance, approximately 75% premium coverage for dependents and offer a Health Savings Account(HSA) with a company match. As well as Dental, Vision, Short/Long term Disability, Basic Life, Voluntary Life and AD&D insurance plans. In addition to Flexible Spending Account(FSA) Options like Health Care, Limited Purpose and Dependent Care.



10 paid holidays per year plus 17 days of Paid Personal Time Off(PPTO) (prorated upon hire and increased by tenure) and 10 paid sick days per year as well as 12 weeks of paid Parental leave and 8 weeks of paid Supplemental Disability.



We also provide generous benefits like mental and emotional health benefits through our EAP and Lyra. A 401K company match, gym and cellphone service reimbursements. The Company reserves the right to modify or change these benefits programs at any time, with or without notice.",3.5,"TikTok
3.5","Mountain View, CA",1001 to 5000 Employees,2016.0,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
192,Jr. Data Scientist - ACF (Remote),$78K - $120K (Glassdoor est.),"Job Description
Jefferson Solutions, the well-respected government consulting company of Jefferson Consulting Group, an award-winning woman-owned small business, is seeking a Data Scientist Junior to provide ongoing support to the Department of Health and Human Services (HHS) Administration for Children and Families (ACF).

Duties:
Create team charter to define Management Services Roles and Responsibilities
Provide program support and creates SOPs",4.0,"Jefferson Consulting Group
4.0","Washington, DC",51 to 200 Employees,,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD)
193,Sr Data Scientist,$114K - $155K (Glassdoor est.),"IT is different here. Our work as technology specialists pushes the boundaries of what’s possible in health care. You will build solutions that make a real difference in people’s lives. Driven by the importance of their work, our team members innovate to elevate. We’re encouraged to be curious, collaborate, and turn ideas into solutions that can make health care better for all.

In this role you will identify, implement, and deliver accurate and quality analyses that translate data in sound organizational decisions. You will be critical in building out our NLP capabilities.

If you are ready to make a career out of making a difference, then you are the person for this team.

What You Will Do

Own delivery of large and/or complex data science and engineering projects

Lead in the development and testing of hypotheses across all functional data sets

Lead requirements gathering sessions with business and technical staff to distill technical requirement from business requests

Define and implement integrated data models, allowing integration of data from multiple sources

Design and develop scalable, efficient data pipeline processes to handle data ingestion, cleansing, transformation, integration, and validation

Define and implement data stores based on system requirements and consumer requirements

Design and develop models to understand and solve complex business solutions using a variety of methods including data mining, statistical analysis, predictive modeling and analysis, stochastic modeling, pattern recognition, probability analysis, and network analysis

Design and implement production models leveraging technologies such as Python, and R

Leverage existing data sets and engineer new data sets including development of SQL queries, data integration and resolution of data quality issues

Apply advanced conceptual understanding of Big Data systems to data set engineering and analytic model implementation

Lead reviews of analytic models and algorithms

Identify actionable insights, suggest recommendations, and influence business direction by effectively communicating results to cross functional groups

Document and test analytic processes including performance and thorough data validation and verification

What You Bring

Master's Degree in Data Science, Applied Mathematics, Computer science, Statistics, Biostatistics, Epidemiology, Health Services Research, or a field closely related to Data Science specialization, or equivalent combination of transferrable experience and education

5 years of the following with increasing scope of project responsibilities:

SQL programming (Advance SQL programming)

Demonstrated experience with design and implementation of analytic models and methodologies for new applications

Proficiency in Python

Advanced experience working with large and complex data sets to develop regression and classification models.

Deep knowledge of state-of-the art techniques in machine learning, statistics, optimization or related fields Demonstrated experience in successfully delivering data science projects.

Great to Have

Experience with Python analytics packages such as scikit-learn, NumPy, Pandas etc.

Experience leveraging NLP

Experience preparing data for analysis

Exposure to clinical, healthcare, or insurance data

Experience with Hadoop, Hive, and/or other Big Data technologies

Experience working in AWS and/or using Linux based systems

Expert at the execution of implementing models and methodologies on big data

Demonstrated experience performing data validation on prepared data sets

Familiarity with deep-learning modeling techniques and their application

Experience in software engineering practices and software development methodologies

Ability to communicate clearly and effectively both orally and in writing

Ability to work independently

Reliable task estimation skills

Excellent quantitative, problem solving and analytic skills

Ability to document data discovery findings, feature selection process, model determination process, and interpretation of insights

Ability to collaborate effectively with business stakeholders, performance consultants, data scientists, and other data engineers

Proficient in use of MS Office applications, including expert level Excel programming

Ability to quickly become expert in operational processes and data of lines of business

Ability to troubleshoot and document findings and recommendations

Comfortable briefing internal stakeholders on findings

Proactively communicate risks and problems to leadership

Ability to keep up with a rapidly evolving technology space",4.2,"Blue Cross and Blue Shield of North Carolina
4.2","Durham, NC",5001 to 10000 Employees,1933.0,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD)
194,"Data Scientist, Marketing",Employer Provided Salary:$135K,"Data Scientist, Marketing (Imperva Inc., Plano, TX) – design, create, build, and maintain data warehouse that enables analytical and business intelligence-based marketing decisions. Duties include:

Aggregate and transform raw data from various data pipelines to improve processes, attribution and funnel optimization, pipeline reporting, and overall performance;
Map strategies to actionable and scalable tactics that effect change and influence outcomes;
Develop and maintain the data pipeline and dashboards that support our business development and marketing efforts and decisions;
Provide dependable marketing data to marketing leadership and stakeholder teams;
Aggregate, monitor, analyze and report on the health of the marketing organization, including recommendations on where to optimize marketing-sourced pipeline, engagement, lead quality, full funnel conversion rates, campaign KPI performance, and/or the effectiveness of spend;",4.4,"Imperva
4.4","Plano, TX",1001 to 5000 Employees,2002.0,Company - Private,Computer Hardware Development,Information Technology,$100 to $500 million (USD)
195,Data Scientist II (Remote),$85K - $120K (Glassdoor est.),"Kohl's is a leading retailer nationwide. We serve hundreds of millions of customers with millions of products. We are expanding our Data Science team to solve the problem of recommending the right products to the right customers. Working within this team at Kohl's, you will be able to develop products that have a strong impact on the company's revenue and millions of customers shopping with us.
As a senior member of the Data Science organization, you will be the technical expert for a team that builds models for initiatives such as recommender systems, NLP, image recognition, segmentation, and user behaviors. You will take a mentorship role within the DS team and work collaboratively with other business areas.
PRIMARY RESPONSIBILITIES",3.4,"KOHLS
3.4","Menomonee Falls, WI",10000+ Employees,1962.0,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$10+ billion (USD)
196,Quantitative Analytics Senior - Data Scientist (Hybrid - 3 Days in Office),Employer Provided Salary:$114K - $170K,"At Freddie Mac, you will do important work to build a better housing finance system and you’ll be part of a team helping to make homeownership and rental housing more accessible and affordable across the nation.
Position Overview:
Freddie Mac’s Investments & Capital Markets Division is seeking a Quantitative Analytics Senior to join the Models & Analytics group to develop and enhance mortgage prepayment, default and severity models for portfolio management. The team is responsible for developing models and conducting quantitative analysis to support valuation and hedging of mortgage products.
Apply now and learn why there’s #MoreAtFreddieMac!
Time-type:Full time
FLSA Status:Exempt
This position has an annualized market-based salary range of $114,000 - $170,000 and is eligible to participate in the annual incentive program. The final salary offered will generally fall within this range and is dependent on various factors including but not limited to the responsibilities of the position, experience, skill set, internal pay equity and other relevant qualifications of the applicant.",3.5,"Freddie Mac
3.5","McLean, VA",5001 to 10000 Employees,1970.0,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
197,Product Data Scientist,Employer Provided Salary:$73K - $176K,"At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.
Job Description Summary: What you need to know about the role At PayPal, we continue to push the boundary of what technology can help people around the world accomplish. For that, we are seeking far and wide for that select handful of exceptional world-class problem solvers with a passion for data insights and a relentless execution focus. Meet our team Digital Wallet team focuses on improving the app and web experiences of our customers to help them transact in a secure and fast manner. This is a cross functional team that works with different business lines to optimize and personalize the experience for 100M+ customers that login and transact every month
Job Description:
PayPal is committed to fair and equitable compensation practices.

Actual Compensation is based on various factors including but not limited to work location, and relevant skills and experience.

The total compensation for this practice may include an annual performance bonus (or other incentive compensation, as applicable), equity, and medical, dental, vision, and other benefits. For more information, visit https://www.paypalbenefits.com.

The U.S. national annual pay range for this role is $72700 to $176000",4.0,"PayPal
4.0","New York, NY",10000+ Employees,1998.0,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
198,Sr Data Scientist,Employer Provided Salary:$103K - $179K,"Description
JOB TITLE: Sr Data Scientist
Syneos Health is the only fully integrated biopharmaceutical solutions organization purpose-built to accelerate customer success. We lead with a product development mindset, seamlessly connecting our capabilities to add high-value insights to speed therapies to patients and provide practical value to help our customers achieve their objectives.
Every day we perform better because of how we work together, as one team, each the best at what we do. We bring many talented experts together across a wide range of business-critical services that support our business. Every role within Corporate is vital to furthering our vision of Shortening the Distance from Lab to Life®.",3.8,"Syneos Health Clinical
3.8",Remote,10000+ Employees,,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
200,"Data Scientist, Machine Learning",$132K - $176K (Glassdoor est.),"Aptos is a people-first blockchain on a mission to help billions of people achieve universal and fair access to decentralized assets in a safe and scalable way.
Founded by some of the original creators and maintainers that researched, designed, and built the Diem blockchain to serve this purpose, we have dedicated several years toward this mission. We believe the open-source Diem technology we have developed is an important foundation of a safe and scalable web3 world where everyone has more equitable opportunities to grow and access financial assets with lower fees and fewer intermediaries.
Aptos (Ohlone for ""The People"") encompasses our mission and ethos for why we build.
About The Role
We are searching for an experienced Data Scientist with a focus on Machine Learning to join our team. Aptos recently entered a partnership with Microsoft to explore the opportunities between Web3 and AI. You will be responsible for exploring opportunities within this space. This includes our current efforts in building AI-driven chatbots that teach people about development on Aptos and empower them to query on-chain state. You will explore the collaboration between AI and blockchain. Beyond that, we're excited to explore co-development or co-piloting experiences and building products with our product teams. We are looking for a bold thinker who has the ability to execute well; in return, you will receive a lot of autonomy and ownership over the projects you tackle.",4.0,"Aptos
4.0","Palo Alto, CA",1001 to 5000 Employees,2015.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
201,Data Scientist II,$97K - $127K (Glassdoor est.),"Comcast brings together the best in media and technology. We drive innovation to create the world's best entertainment and online experiences. As a Fortune 50 leader, we set the pace in a variety of innovative and fascinating businesses and create career opportunities across a wide range of locations and disciplines. We are at the forefront of change and move at an amazing pace, thanks to our remarkable people, who bring cutting-edge products and services to life for millions of customers every day. If you share in our passion for teamwork, our vision to revolutionize industries and our goal to lead the future in media and technology, we want you to fast-forward your career at Comcast.

Job Summary
Responsible for leveraging internal and external data to provide insights and information which supports a facts-based decision making process. Provides input into strategy, analysis methods and tool selection. Works with moderate guidance in own area of knowledge.",3.8,"Comcast
3.8","Philadelphia, PA",10000+ Employees,1963.0,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
202,Jr. Data Scientist,$91K - $132K (Glassdoor est.),"Job Type: Full Time
We are looking for Jr. Data Scientists to join our team.
Kyla is the next generation of healthcare tech. Our mission is to help people live longer and healthier. With the latest AI technologies, we provide the best digital healthcare for everyone. We have several digital products such as mobile app, and three web applications for companies and doctors. We work with Fortune 500 companies. Our solutions are used by thousands, and recently we won the Exceptional Innovation By The 2020 Pandemic Tech Innovation Awards. Our team is bright minds who love their job and development and are not afraid of working in a fast-growing lean startup.
If you would like to join us, do not hesitate to apply.
Required skills:",3.5,"Kyla
3.5","San Jose, CA",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
203,Senior Data Scientist - NYC,Employer Provided Salary:$160K - $225K,"Company Description

Jobs for Humanity is dedicated to building an inclusive and just employment ecosystem. Therefore, we have dedicated this job posting to individuals coming from the following communities: Refugee, Neurodivergent, Single Parent, Blind or Low Vision, Deaf or hard of hearding, Black, Hispanic, Asian, Military Veterans, the Elderly, the LGBTQ, and Justice Impacted individuals. If you identify with any of the following communities do not hesitate to register.

Company Name: Rokt

Job Description",3.9,"Rokt
3.9","New York, NY",201 to 500 Employees,2012.0,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable
204,Data Scientist,Employer Provided Salary:$81K - $179K,"Work Mode:
Onsite
Responsibilities:
1.Join a highly skilled data science team to mine through data to identify data-driven opportunities in game production, publishing and live-ops
2.Work with large datasets and apply advanced analytic methods to solve challenging problems and to deliver scalable solutions.
3.Establish scalable, efficient, automated processes and provide end-to-end data products with large-scale data analysis, A/B testing, machine/deep learning model development, validation and serving.
4.Interact cross-functionally with various teams and provide actionable business insights for stakeholders.
5.Research new machine learning approaches.
1.Join a highly skilled data science team to mine through data to identify data-driven opportunities in game production, publishing and live-ops
2.Work with large datasets and apply advanced analytic methods to solve challenging problems and to deliver scalable solutions.
3.Establish scalable, efficient, automated processes and provide end-to-end data products with large-scale data analysis, A/B testing, machine/deep learning model development, validation and serving.
4.Interact cross-functionally with various teams and provide actionable business insights for stakeholders.
5.Research new machine learning approaches.
1.MS/PhD degree in a quantitative field - Computer Science, Operational Research, Mathematics, Statistics, Economics or related fields. Ph.D. with Strong publication record preferred;2.3+ years of experience of building machine learning models for business applications;3. Deep and extensive knowledge in one or more of the following areas: Deep Learning, Reinforcement Learning, Statistical Analysis, NLP, Computer Vision, Recommendation System, Big Data technologies, and any other data science related domains.4.Expert in statistical analysis (probabilities, hypothesis testing, multivariate analysis, time series analysis, generalized linear model, A/B experiments) ;5.Proficient in SQL and Python, Java, C++ or related programming languages;6.Experience with Big Data technologies such as Hadoop, Spark, Pig, Hive, etc. is preferred.7.Ability to understand complex subjects clearly and proposing actionable data-driven solutions to them. Good business acumen and communication skills is a plus.

California
The base pay range for this position in the state(s) above is $81,400 to $179,300 per year. Actual pay is based on market location and may vary depending on job-related knowledge, skills, and experience. A sign on payment, relocation package, and restricted stock units may be provided as part of the compensation package, as well as other medical, financial, and/or other benefits, dependent on the specific position offered.",4.0,"Tencent
4.0","Palo Alto, CA",10000+ Employees,1998.0,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable
205,Sr. Data Scientist (Starlink Product),Employer Provided Salary:$160K - $220K,"SpaceX was founded under the belief that a future where humanity is out exploring the stars is fundamentally more exciting than one where we are not. Today SpaceX is actively developing the technologies to make this possible, with the ultimate goal of enabling human life on Mars.
SR. DATA SCIENTIST (STARLINK PRODUCT)
At SpaceX we're leveraging our experience in building rockets and spacecraft to deploy Starlink, the world's most advanced broadband internet system. Starlink is the world's largest satellite constellation and is providing fast, reliable internet to 2M+ users worldwide. We design, build, test, and operate all parts of the system – thousands of satellites, consumer receivers that allow users to connect within minutes of unboxing, and the software that brings it all together. We've only begun to scratch the surface of Starlink's potential global impact and are looking for best-in-class engineers to help maximize Starlink's utility for communities and businesses around the globe",3.9,"SpaceX
3.9","Hawthorne, CA",5001 to 10000 Employees,2002.0,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
206,Associate Data Scientist,$89K - $122K (Glassdoor est.),"Associate Data Scientist
Locations: Wilmington, DE; Charlotte, NC
As an Associate Data Scientist, you’ll develop the technical skills to build the machine learning systems that drive our company and produce great customer outcomes. You’ll get hands-on experience as you apply your talents, creativity, and passion to create innovative solutions to real-world data science use cases. No matter the projects, you’ll have the opportunity to explore, while learning from experts in consumer lending in a close-knit team-oriented environment.
This role will provide exposure across multiple disciplines to accelerate your career growth.
In the Role:",3.4,"OneMain Financial
3.4","Wilmington, DE",5001 to 10000 Employees,1912.0,Company - Public,Banking & Lending,Financial Services,Unknown / Non-Applicable
207,"Sr. Data Scientist, Content",$123K - $177K (Glassdoor est.),"About Pinterest:
Millions of people across the world come to Pinterest to find new ideas every day. It's where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you'll be challenged to take on work that upholds this mission and pushes Pinterest forward. You'll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet.
Creating a life you love also means finding a career that celebrates the unique perspectives and experiences that you bring. As you read through the expectations of the position, consider how your skills and experiences may complement the responsibilities of the role. We encourage you to think through your relevant and transferable skills from prior experiences.
Our new progressive work model is called PinFlex, a term that's uniquely Pinterest to describe our flexible approach to living and working. Visit our",3.8,"Pinterest
3.8","San Francisco, CA",1001 to 5000 Employees,2010.0,Company - Public,Internet & Web Services,Information Technology,$100 to $500 million (USD)
208,Senior Data Scientist,Employer Provided Salary:$143K - $195K,"Who We Are
Come join First American's Digital Title Group, newly formed to re-imagine and digitize the title search and examination process through Big Data, AI, document automation and modern, cloud-native application development. As a market leading title insurance company, powered by the nation's largest and most complete property information, ownership and recorded document database, First American is committed to advancing title automation and removing friction from the real estate closing process. Our modern title decisioning solutions create certainty and speed through data and analytics, delivered to real estate agents, lenders, title agents and homebuyers. Join a team that puts its People First! Since 1889, First American (NYSE: FAF) has held an unwavering belief in its people. They are passionate about what they do, and we are equally passionate about fostering an environment where all feel welcome, supported, and empowered to be innovative and reach their full potential. Our inclusive, people-first culture has earned our company numerous accolades, including being named to the Fortune 100 Best Companies to Work For® list for eight consecutive years. We have also earned awards as a best place to work for women, diversity and LGBTQ+ employees, and have been included on more than 50 regional best places to work lists. First American will always strive to be a great place to work, for all. For more information, please visit www.careers.firstam.com.",3.8,"First American Financial Corporation
3.8","Santa Ana, CA",10000+ Employees,1889.0,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD)
209,Data Scientist - TikTok Ads,Employer Provided Salary:$145K - $281K,"Responsibilities
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo.

About The Tiktok Monetization Product Data Science Team
We're the TikTok Monetization Products data science team, who enables and champions data driven decision making. Our Vision is to become the world class data science team, where data is used rigorously to drive all decision making. Our Mission is to drive monetization and sustainable revenue growth for TikTok through data science.

Responsibilities:
1. Work with large, complex data sets. Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed. Conduct analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations.
2. Build and prototype analysis pipelines iteratively to provide insights at scale.
3. Develop comprehensive knowledge of Tiktok data structures and metrics, advocating for changes where needed for product development.
Interact cross-functionally, making business recommendations (e.g., cost-benefit, forecasting, experiment analysis) with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information.
4. Research and develop analysis, forecasting, and optimization methods to improve the quality of Tiktok ads products.
Qualifications
1. Master's degree in a quantitative discipline (e.g., Statistics, Operations Research, 2. Economics, Computer Science, Mathematics, Physics) or equivalent practical experience.
3. 5-7 years of relevant work experience, including expertise with statistical data analysis such as linear models, multivariate analysis, stochastic models, sampling methods.
4. Experience with statistical software (e.g. R, Python, MATLAB) and database languages (e.g. SQL)
4. Demonstrated leadership and self-direction. Willingness to both teach others and learn new techniques.
6. Demonstrated skills in selecting the right statistical tools given a data analysis problem. Effective written and verbal communication skills.

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We believe individuals shouldn't be disadvantaged because of their background or identity, but instead should be considered based on their strengths and experience. We are passionate about this and hope you are too.
Job Information
The base salary range for this position in the selected city is $145000 - $281000 annually.



Compensation may vary outside of this range depending on a number of factors, including a candidate’s qualifications, skills, competencies and experience, and location. Base pay is one part of the Total Package that is provided to compensate and recognize employees for their work, and this role may be eligible for additional discretionary bonuses/incentives, and restricted stock units.



At ByteDance/TikTok our benefits are designed to convey company culture and values, to create an efficient and inspiring work environment, and to support ByteDancers to give their best in both work and life. We offer the following benefits to eligible employees:



We cover 100% premium coverage for employee medical insurance, approximately 75% premium coverage for dependents and offer a Health Savings Account(HSA) with a company match. As well as Dental, Vision, Short/Long term Disability, Basic Life, Voluntary Life and AD&D insurance plans. In addition to Flexible Spending Account(FSA) Options like Health Care, Limited Purpose and Dependent Care.



10 paid holidays per year plus 17 days of Paid Personal Time Off(PPTO) (prorated upon hire and increased by tenure) and 10 paid sick days per year as well as 12 weeks of paid Parental leave and 8 weeks of paid Supplemental Disability.



We also provide generous benefits like mental and emotional health benefits through our EAP and Lyra. A 401K company match, gym and cellphone service reimbursements. The Company reserves the right to modify or change these benefits programs at any time, with or without notice.",3.5,"TikTok
3.5","Seattle, WA",1001 to 5000 Employees,2016.0,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
211,Data Scientist,Employer Provided Salary:$119K - $179K,"Job Description

Intel Foundry Services (IFS) is an independent foundry business established to meet our customers' unique product needs. With the first ""Open System Foundry"" model in the world, we help our customers build their innovative silicon designs and deliver full end-to-end customizable products from Intel's secure, resilient, and sustainable source of supply.
We are seeking a Data Scientist who is expert in data wrangling and analyzing massive and complex datasets.
Your responsibilities will include but not limited to:





Intel Foundry Services (IFS) is an independent foundry business that is established to meet our customers' unique product needs. With the first ""Open System Foundry"" model in the world, our combined offerings of wafer fabrication, advanced process, and packaging technology, chiplet, software, robust ecosystem, and assembly and test capabilities help our customers build their innovative silicon designs and deliver full end-to-end customizable products from Intel's secure, resilient and sustainable source of supply.

US, OR, Hillsboro; US, TX, Austin; US, CA, Folsom

Intel strongly encourages employees to be vaccinated against COVID-19. Intel aligns to federal, state, and local laws and as a contractor to the U.S. Government is subject to government mandates that may be issued. Intel policies for COVID-19 including guidance about testing and vaccination are subject to change over time.

All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.

We offer a total compensation package that ranks among the best in the industry. It consists of competitive pay, stock, bonuses, as well as, benefit programs which include health, retirement, and vacation. Find more information about all of our Amazing Benefits here: https://www.intel.com/content/www/us/en/jobs/benefits.html

Annual Salary Range for jobs which could be performed in US, California: $119,130.00-$178,690.00


This role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site.",4.1,"INTEL
4.1","Santa Clara, CA",10000+ Employees,1968.0,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
212,Principal Data Scientist,$144K - $193K (Glassdoor est.),"Overview

Intuit is hiring a Principal Data Scientist to join our Intuit AI team.

Come join our collaborative and creative group of data scientists and machine learning engineers and build models that directly affect hundreds of thousands of our customers. In this role you will be building and deploying machine learning models using both analytical algorithms and deep learning approaches. We are waiting for you to join us and do the best work of your life.
What you'll bring
PhD/MS in Engineering Mathematics, Statistics, Theoretical/Computational Physics, or related field",4.5,"Intuit
4.5","San Diego, CA",10000+ Employees,1983.0,Company - Public,Software Development,Information Technology,$10+ billion (USD)
215,Machine Learning Data Scientist - Growth Algorithms,Employer Provided Salary:$211K - $262K,"About the Team
At Stitch Fix, our data science team combines machine learning with expert human judgment to generate innovative recommendations and insights that transform the way our clients discover what they love. We believe in a curiosity-driven data science culture where members are empowered to deliver impact through end-to-end model development. The diversity of the problems that we work on and the data-rich environment of our business make it possible, even essential, to bring the tools of multiple disciplines to bear on our hardest problems. As a large company, our growing business is looking for data scientists to join us in revolutionizing retail.
About the Role
Multiple teams are looking for Data Scientists. Here are some examples of teams you may have the opportunity to join:",3.3,"Stitch Fix
3.3","San Francisco, CA",10000+ Employees,2011.0,Company - Public,Other Retail Stores,Retail & Wholesale,$1 to $5 billion (USD)
216,"Sr. Data Scientist, Search",$145K - $196K (Glassdoor est.),"About Pinterest:
Millions of people across the world come to Pinterest to find new ideas every day. It's where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you'll be challenged to take on work that upholds this mission and pushes Pinterest forward. You'll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet.
Creating a life you love also means finding a career that celebrates the unique perspectives and experiences that you bring. As you read through the expectations of the position, consider how your skills and experiences may complement the responsibilities of the role. We encourage you to think through your relevant and transferable skills from prior experiences.
Our new progressive work model is called PinFlex, a term that's uniquely Pinterest to describe our flexible approach to living and working. Visit our",3.8,"Pinterest
3.8","San Francisco, CA",1001 to 5000 Employees,2010.0,Company - Public,Internet & Web Services,Information Technology,$100 to $500 million (USD)
217,Data Scientist,$99K - $138K (Glassdoor est.),"Overview:
Are you looking for an opportunity to join a Fortune 200 company where your analytics expertise will influence our dynamic sales and marketing organizations and help craft our future? Do you thrive on transforming data into insights? If so, we want to speak with you!

We are currently recruiting for a Data Scientist to join Altria Advanced Analytics department in Richmond, VA, or we are open to remote work arrangements.

What you'll be doing:
Utilize various data sources to conduct descriptive and diagnostic analyses to derive insights and inform business decisions
Leverage big data cloud computing resources to design, test, and implement innovative analytical solutions that measure, predict, and influence business outcomes



In addition to the opportunity to apply and develop your skills toward key business priorities, we offer excellent relocation compensation packages that include a compelling base salary, comprehensive health/vision/dental insurance, and participation in our incentive compensation and deferred profit-sharing programs.
Sponsorship: Immigration Sponsorship is not available for this role. Company Overview: Altria has a leading portfolio of tobacco products for U.S. tobacco consumers 21+. Our tobacco companies – which have been the undisputed market leaders in the U.S. tobacco industry for decades – include some of the most enduring names in American business. In combustibles, we own Philip Morris USA, the maker of Marlboro cigarettes and John Middleton, manufacturer of Black & Mild cigars. Our smoke-free portfolio includes ownership of U.S. Smokeless Tobacco Company, the maker of Copenhagen and Skoal, and Helix Innovations, the maker of on! oral nicotine pouches. Additionally, we have a majority-owned joint venture with JT Group, Horizon Innovations, for the U.S. marketing and commercialization of heated tobacco stick products. Through a separate agreement with Philip Morris International, we have the exclusive U.S. commercialization rights to the IQOS* Tobacco Heating System® and Marlboro HeatSticks® through April 2024. Our equity investments include Anheuser-Busch InBev SA/NV, the world’s largest brewer and Cronos Group, a leading Canadian cannabinoid company. Each Altria company is an equal opportunity employer. We are committed to providing individuals with criminal records, including formerly incarcerated individuals and individuals with conviction records, a fair chance at employment. Learn more about Altria at www.altria.com and follow us on Twitter, Facebook and LinkedIn",3.9,"Altria
3.9","Richmond, VA",5001 to 10000 Employees,1919.0,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD)
